Date,City,Industrial_Waste,Vehicle_Waste,AQI,Air_Quality
2017-11-25,Amaravati,149.09,250.76,184.0,Moderate
2017-11-26,Amaravati,152.65,259.91,197.0,Moderate
2017-11-27,Amaravati,153.44,296.32,198.0,Moderate
2017-11-28,Amaravati,162.44,227.42,188.0,Moderate
2017-11-29,Amaravati,125.28999999999998,244.74,173.0,Moderate
2017-11-30,Amaravati,135.9,235.13,165.0,Moderate
2017-12-01,Amaravati,140.75999999999996,236.41,191.0,Moderate
2017-12-02,Amaravati,151.20999999999998,297.09000000000003,191.0,Moderate
2017-12-03,Amaravati,130.29999999999998,266.57,227.0,Poor
2017-12-04,Amaravati,126.18,272.81,168.0,Moderate
2017-12-05,Amaravati,135.14,261.65,198.0,Moderate
2017-12-06,Amaravati,138.55999999999997,293.66,201.0,Poor
2017-12-07,Amaravati,130.15999999999997,387.25,252.0,Poor
2017-12-08,Amaravati,98.42,444.11,310.0,Very Poor
2017-12-09,Amaravati,87.73,311.27,196.0,Moderate
2017-12-10,Amaravati,86.39000000000001,220.74,132.0,Moderate
2017-12-11,Amaravati,98.02,261.82000000000005,147.0,Moderate
2017-12-12,Amaravati,59.57,321.26,179.0,
2017-12-13,Amaravati,62.46,248.28,145.0,Moderate
2017-12-14,Amaravati,66.25999999999999,244.27,115.0,Moderate
2017-12-15,Amaravati,91.07,242.71,140.0,Moderate
2017-12-16,Amaravati,86.46,303.83,156.0,Moderate
2017-12-17,Amaravati,91.65999999999998,379.56,225.0,Poor
2017-12-18,Amaravati,77.47,386.41,251.0,Poor
2017-12-19,Amaravati,85.94000000000001,365.21,228.0,Poor
2017-12-20,Amaravati,95.03000000000002,328.27000000000004,223.0,Poor
2017-12-21,Amaravati,97.76,333.78,170.0,Moderate
2017-12-22,Amaravati,91.77,347.94999999999993,165.0,Moderate
2017-12-23,Amaravati,89.32000000000001,329.22,159.0,Moderate
2017-12-24,Amaravati,79.07000000000001,372.11000000000007,232.0,Poor
2017-12-25,Amaravati,92.75,354.6,242.0,Poor
2017-12-26,Amaravati,87.16999999999999,376.31000000000006,274.0,Poor
2017-12-27,Amaravati,85.71999999999998,432.94,259.0,Poor
2017-12-28,Amaravati,82.72000000000001,402.96,225.0,Poor
2017-12-29,Amaravati,80.84,314.15,177.0,Moderate
2017-12-30,Amaravati,78.84,242.26999999999995,120.0,Moderate
2017-12-31,Amaravati,78.03999999999999,281.04999999999995,120.0,Moderate
2018-01-01,Amaravati,117.12,228.02,120.0,Moderate
2018-01-02,Amaravati,98.27,233.82,132.0,Moderate
2018-01-03,Amaravati,104.02,305.11,136.0,Moderate
2018-01-04,Amaravati,95.78000000000002,379.74,182.0,Moderate
2018-01-05,Amaravati,100.27,374.65,222.0,Poor
2018-01-06,Amaravati,110.22,370.22,230.0,Poor
2018-01-07,Amaravati,,330.93,224.0,Poor
2018-01-08,Amaravati,138.32,296.62999999999994,217.0,Poor
2018-01-09,Amaravati,156.55000000000004,309.58,230.0,Poor
2018-01-10,Amaravati,137.16,330.06000000000006,229.0,Poor
2018-01-11,Amaravati,148.46,337.33,229.0,Poor
2018-01-12,Amaravati,127.09000000000002,405.9800000000001,235.0,Poor
2018-01-13,Amaravati,93.9,285.38,214.0,Poor
2018-01-14,Amaravati,74.66,288.23,186.0,Moderate
2018-01-15,Amaravati,86.69999999999999,250.31,172.0,Moderate
2018-01-16,Amaravati,66.36,223.0,138.0,Moderate
2018-01-17,Amaravati,58.82,240.1,125.0,Moderate
2018-01-18,Amaravati,60.28,287.79,132.0,Moderate
2018-01-19,Amaravati,66.22,284.71,111.0,Moderate
2018-01-20,Amaravati,89.38,334.24,137.0,Moderate
2018-01-21,Amaravati,76.85999999999999,310.3,172.0,Moderate
2018-01-22,Amaravati,74.63999999999999,320.66,160.0,Moderate
2018-01-23,Amaravati,74.23,318.26,163.0,Moderate
2018-01-24,Amaravati,64.53,314.55000000000007,165.0,Moderate
2018-01-25,Amaravati,79.48,364.22,139.0,Moderate
2018-01-26,Amaravati,61.56,326.53000000000003,176.0,Moderate
2018-01-27,Amaravati,57.74,313.58,162.0,Moderate
2018-01-28,Amaravati,57.85,288.9200000000001,160.0,Moderate
2018-01-29,Amaravati,69.6,293.15000000000003,142.0,Moderate
2018-01-30,Amaravati,62.89999999999999,320.49,172.0,Moderate
2018-01-31,Amaravati,67.07000000000001,345.05,134.0,Moderate
2018-02-01,Amaravati,48.84,347.69000000000005,136.0,Moderate
2018-02-02,Amaravati,55.37,282.45,130.0,Moderate
2018-02-03,Amaravati,41.28000000000001,246.34,111.0,Moderate
2018-02-04,Amaravati,44.13999999999999,245.81,117.0,Moderate
2018-02-05,Amaravati,44.18,212.84,102.0,Moderate
2018-02-06,Amaravati,37.88,208.79,108.0,Moderate
2018-02-07,Amaravati,31.09,249.11,99.0,Satisfactory
2018-02-08,Amaravati,57.15,231.12000000000003,121.0,Moderate
2018-02-09,Amaravati,35.24999999999999,136.85,86.0,Satisfactory
2018-02-10,Amaravati,33.39,141.81000000000003,57.0,Satisfactory
2018-02-11,Amaravati,40.95,215.06000000000003,107.0,Moderate
2018-02-12,Amaravati,40.22,192.39,118.0,Moderate
2018-02-13,Amaravati,45.150000000000006,192.51,110.0,Moderate
2018-02-14,Amaravati,63.92999999999999,202.07,114.0,Moderate
2018-02-15,Amaravati,49.370000000000005,232.25,111.0,Moderate
2018-02-16,Amaravati,59.85,262.68999999999994,117.0,Moderate
2018-02-17,Amaravati,47.970000000000006,191.11,107.0,Moderate
2018-02-18,Amaravati,43.52,203.62,87.0,Satisfactory
2018-02-19,Amaravati,40.88,198.23,89.0,Satisfactory
2018-02-20,Amaravati,39.29,207.84,97.0,Satisfactory
2018-02-21,Amaravati,40.53,199.33,100.0,Satisfactory
2018-02-22,Amaravati,40.18,198.41,105.0,Moderate
2018-02-23,Amaravati,38.07000000000001,198.43,114.0,Moderate
2018-02-24,Amaravati,35.44,252.36,116.0,Moderate
2018-02-27,Amaravati,36.82,239.67,116.0,Moderate
2018-02-28,Amaravati,50.71,221.29,108.0,Moderate
2018-03-01,Amaravati,38.91,202.15,100.0,Satisfactory
2018-03-02,Amaravati,34.8,170.06,92.0,Satisfactory
2018-03-03,Amaravati,40.97,155.31,80.0,Satisfactory
2018-03-04,Amaravati,37.88,177.41,88.0,Satisfactory
2018-03-05,Amaravati,28.96,185.38,83.0,Satisfactory
2018-03-06,Amaravati,29.950000000000003,234.38,100.0,Satisfactory
2018-03-07,Amaravati,33.18,171.64999999999998,81.0,Satisfactory
2018-03-08,Amaravati,35.11,263.9,112.0,Moderate
2018-03-09,Amaravati,41.33,242.92,113.0,Moderate
2018-03-10,Amaravati,36.040000000000006,207.16,105.0,Moderate
2018-03-11,Amaravati,41.02,161.06,88.0,Satisfactory
2018-03-12,Amaravati,32.23,161.17000000000002,78.0,Satisfactory
2018-03-13,Amaravati,28.399999999999995,170.99000000000004,78.0,Satisfactory
2018-03-14,Amaravati,24.790000000000003,136.74,69.0,Satisfactory
2018-03-15,Amaravati,34.09,125.29,60.0,Satisfactory
2018-03-17,Amaravati,,185.0,61.0,Satisfactory
2018-03-18,Amaravati,36.94,181.08,90.0,Satisfactory
2018-03-19,Amaravati,34.92,160.45999999999998,74.0,Satisfactory
2018-03-20,Amaravati,23.66,168.86999999999998,76.0,Satisfactory
2018-03-22,Amaravati,37.43,193.59,92.0,Satisfactory
2018-03-23,Amaravati,38.4,188.15,93.0,Satisfactory
2018-03-24,Amaravati,34.88000000000001,156.76000000000002,88.0,Satisfactory
2018-03-26,Amaravati,33.38,153.58000000000004,79.0,Satisfactory
2018-03-27,Amaravati,36.15,135.90000000000003,74.0,Satisfactory
2018-03-28,Amaravati,37.22,127.78,62.0,Satisfactory
2018-04-02,Amaravati,35.330000000000005,114.90000000000002,55.0,Satisfactory
2018-04-03,Amaravati,29.690000000000005,115.09,56.0,Satisfactory
2018-04-04,Amaravati,29.950000000000003,116.85,56.0,Satisfactory
2018-04-07,Amaravati,21.74,131.35000000000002,76.0,Satisfactory
2018-04-09,Amaravati,27.09,112.03,81.0,Satisfactory
2018-04-10,Amaravati,22.46,119.87,59.0,Satisfactory
2018-05-11,Amaravati,43.09,77.71,52.0,Satisfactory
2018-05-17,Amaravati,67.67,93.25,125.0,Moderate
2018-05-24,Amaravati,61.14999999999999,123.19,86.0,Satisfactory
2018-05-25,Amaravati,84.07,142.99,62.0,Satisfactory
2018-05-26,Amaravati,72.59,80.8,78.0,Satisfactory
2018-05-27,Amaravati,106.29,85.0,114.0,Moderate
2018-05-28,Amaravati,276.43,94.07999999999998,103.0,Moderate
2018-06-03,Amaravati,199.65,128.68999999999997,129.0,Moderate
2018-06-04,Amaravati,163.55,134.8,136.0,Moderate
2018-06-05,Amaravati,166.96000000000004,135.11,155.0,Moderate
2018-06-21,Amaravati,68.84,111.9,88.0,Satisfactory
2018-06-24,Amaravati,71.47999999999999,90.1,89.0,Satisfactory
2018-06-26,Amaravati,58.19,94.13,68.0,Satisfactory
2018-06-28,Amaravati,46.43999999999999,99.86,65.0,Satisfactory
2018-06-29,Amaravati,54.29,110.38,66.0,Satisfactory
2018-06-30,Amaravati,69.87,109.26,96.0,Satisfactory
2018-07-01,Amaravati,51.940000000000005,117.98,68.0,Satisfactory
2018-07-02,Amaravati,60.45,108.58,76.0,Satisfactory
2018-07-03,Amaravati,49.94,95.28,70.0,Satisfactory
2018-07-04,Amaravati,53.52,130.70000000000002,75.0,Satisfactory
2018-07-05,Amaravati,51.940000000000005,100.11,73.0,Satisfactory
2018-07-06,Amaravati,44.620000000000005,111.32999999999998,85.0,Satisfactory
2018-07-07,Amaravati,70.57000000000002,75.9,83.0,Satisfactory
2018-07-11,Amaravati,67.69,72.94,62.0,Satisfactory
2018-07-12,Amaravati,47.03,83.33999999999999,79.0,Satisfactory
2018-07-15,Amaravati,26.17,59.31999999999999,31.0,Good
2018-07-18,Amaravati,38.580000000000005,91.58,39.0,Good
2018-07-20,Amaravati,34.45,92.23,42.0,Good
2018-07-21,Amaravati,39.69999999999999,114.3,73.0,Satisfactory
2018-07-24,Amaravati,41.1,125.29,55.0,Satisfactory
2018-07-25,Amaravati,36.94,139.57,86.0,Satisfactory
2018-07-28,Amaravati,38.8,166.51999999999998,57.0,Satisfactory
2018-07-29,Amaravati,35.78,158.39,85.0,Satisfactory
2018-07-30,Amaravati,38.16,200.83,85.0,Satisfactory
2018-07-31,Amaravati,36.51,214.3,106.0,Moderate
2018-08-01,Amaravati,36.95,163.98999999999998,100.0,Satisfactory
2018-08-02,Amaravati,41.52,131.34,68.0,Satisfactory
2018-08-03,Amaravati,35.43,170.52999999999997,61.0,Satisfactory
2018-08-04,Amaravati,42.07,149.86,71.0,Satisfactory
2018-08-07,Amaravati,33.93000000000001,128.06,111.0,Moderate
2018-08-08,Amaravati,29.44,113.67,47.0,Good
2018-08-09,Amaravati,30.98,150.79,47.0,Good
2018-08-10,Amaravati,30.930000000000003,90.18999999999998,48.0,Good
2018-08-11,Amaravati,25.14,69.73,49.0,Good
2018-08-13,Amaravati,20.58,62.06,57.0,Satisfactory
2018-08-14,Amaravati,24.55,64.45,60.0,Satisfactory
2018-08-15,Amaravati,23.31,98.04,52.0,Satisfactory
2018-08-17,Amaravati,38.38,68.30999999999999,63.0,Satisfactory
2018-08-18,Amaravati,37.970000000000006,75.61,53.0,Satisfactory
2018-08-19,Amaravati,30.63000000000001,55.66,56.0,Satisfactory
2018-08-22,Amaravati,26.35,47.81,75.0,Satisfactory
2018-08-24,Amaravati,33.14,112.15,89.0,Satisfactory
2018-08-25,Amaravati,32.82,139.5,76.0,Satisfactory
2018-08-27,Amaravati,30.190000000000005,83.23,66.0,Satisfactory
2018-08-28,Amaravati,34.580000000000005,113.31,61.0,Satisfactory
2018-08-29,Amaravati,38.61,135.19,83.0,Satisfactory
2018-08-30,Amaravati,39.81,174.27999999999997,87.0,Satisfactory
2018-08-31,Amaravati,40.28,152.82000000000002,97.0,Satisfactory
2018-09-01,Amaravati,39.44,156.42000000000002,98.0,Satisfactory
2018-09-02,Amaravati,36.41,181.54,99.0,Satisfactory
2018-09-04,Amaravati,38.760000000000005,191.55,98.0,Satisfactory
2018-09-07,Amaravati,47.01,207.83,90.0,Satisfactory
2018-09-08,Amaravati,39.27,195.36,106.0,Moderate
2018-09-11,Amaravati,39.3,201.72000000000003,88.0,Satisfactory
2018-09-13,Amaravati,49.44,162.35,76.0,Satisfactory
2018-09-14,Amaravati,44.1,164.58,68.0,Satisfactory
2018-09-15,Amaravati,49.370000000000005,158.93999999999997,75.0,Satisfactory
